"dam","fosternest","tarsus","weight","mean_weight","mean_ratio"
"126","R187568","A602",14.24,9.7,9.49166666666667,0.969588926174497
"127","R187568","A602",13.78,9.3,9.49166666666667,0.969588926174497
"128","R187568","A602",14.31,9.6,9.49166666666667,0.969588926174497
"129","R187562","A602",13.78,9.5,9.49166666666667,0.969588926174497
"130","R187562","A602",13.78,9.2,9.49166666666667,0.969588926174497
"131","R187562","A602",13.25,9.1,9.49166666666667,0.969588926174497
"132","R187562","A602",13.25,9,9.49166666666667,0.969588926174497
"133","R187562","A602",13.71,9.3,9.49166666666667,0.969588926174497
"134","R187562","A602",14.39,9.7,9.49166666666667,0.969588926174497
"135","R187562","A602",14.24,9.9,9.49166666666667,0.969588926174497
"136","R187400","B1002",14.08,9.7,9.88888888888889,1.01016581129096
"137","R187400","B1002",15.22,10.3,9.88888888888889,1.01016581129096
"138","R187400","B1002",14.69,9.9,9.88888888888889,1.01016581129096
"139","R187400","B1002",14.84,10.2,9.88888888888889,1.01016581129096
"140","Fem3","B1002",14.99,9.9,9.88888888888889,1.01016581129096
"141","Fem3","B1002",14.31,10.1,9.88888888888889,1.01016581129096
"142","Fem3","B1002",14.54,9.9,9.88888888888889,1.01016581129096
"143","Fem3","B1002",14.08,9.3,9.88888888888889,1.01016581129096
"144","Fem3","B1002",14.39,9.7,9.88888888888889,1.01016581129096
"145","R187902","B1102",13.55,9,9,0.919364390051323
"146","R187902","B1102",13.63,9.3,9,0.919364390051323
"147","R186912","B1102",13.1,9.2,9,0.919364390051323
"148","R186912","B1102",13.25,8.8,9,0.919364390051323
"149","R186912","B1102",13.1,9.1,9,0.919364390051323
"150","R186912","B1102",13.1,8.6,9,0.919364390051323
"151","R187944","B1202",14.77,9.8,9.74285714285714,0.995248434944448
"152","R187944","B1202",14.69,9.7,9.74285714285714,0.995248434944448
"153","R187944","B1202",14.61,9.8,9.74285714285714,0.995248434944448
"154","R187947","B1202",14.77,10,9.74285714285714,0.995248434944448
"155","R187947","B1202",14.69,9.8,9.74285714285714,0.995248434944448
"156","R187947","B1202",14.31,9.3,9.74285714285714,0.995248434944448
"157","R187947","B1202",14.54,9.8,9.74285714285714,0.995248434944448
"158","R187958","B1302",14.61,9.7,9.78571428571429,0.999626360611359
"159","R187958","B1302",13.93,9.3,9.78571428571429,0.999626360611359
"160","R187958","B1302",14.24,9.3,9.78571428571429,0.999626360611359
"161","R187958","B1302",14.24,9.8,9.78571428571429,0.999626360611359
"162","R187953","B1302",14.77,10.2,9.78571428571429,0.999626360611359
"163","R187953","B1302",15.3,10.1,9.78571428571429,0.999626360611359
"164","R187953","B1302",14.84,10.1,9.78571428571429,0.999626360611359
"165","R186902","B1402",14.99,10,9.68888888888889,0.989735491512041
"166","R186902","B1402",13.93,9.3,9.68888888888889,0.989735491512041
"167","R186902","B1402",14.69,9.9,9.68888888888889,0.989735491512041
"168","R186902","B1402",13.86,9.2,9.68888888888889,0.989735491512041
"169","R186902","B1402",14.16,9.8,9.68888888888889,0.989735491512041
"170","R187000","B1402",14.39,9.6,9.68888888888889,0.989735491512041
"171","R187000","B1402",14.39,9.9,9.68888888888889,0.989735491512041
"172","R187000","B1402",15.37,10,9.68888888888889,0.989735491512041
"173","R187000","B1402",14.24,9.5,9.68888888888889,0.989735491512041
"174","R186908","B1602",12.57,8.6,9.78571428571429,0.999626360611359
"175","R186908","B1602",15.52,10.4,9.78571428571429,0.999626360611359
"176","R186908","B1602",14.69,10,9.78571428571429,0.999626360611359
"177","R187824","B1602",14.84,9.8,9.78571428571429,0.999626360611359
"178","R187824","B1602",14.61,10,9.78571428571429,0.999626360611359
"179","R187824","B1602",14.31,9.9,9.78571428571429,0.999626360611359
"180","R187824","B1602",14.54,9.8,9.78571428571429,0.999626360611359
"181","R187824","B1702",14.77,9.8,10.0875,1.03045425384919
"182","R187824","B1702",15.37,10.5,10.0875,1.03045425384919
"183","R187824","B1702",14.61,9.8,10.0875,1.03045425384919
"184","R186908","B1702",15.52,10.4,10.0875,1.03045425384919
"185","R186908","B1702",14.99,10.1,10.0875,1.03045425384919
"186","R186908","B1702",14.84,10.2,10.0875,1.03045425384919
"187","R186908","B1702",14.69,9.9,10.0875,1.03045425384919
"188","R186908","B1702",14.69,10,10.0875,1.03045425384919
"189","R187937","B1802",14.31,9.1,9.525,0.972993979470983
"190","R187937","B1802",15.07,10.2,9.525,0.972993979470983
"191","R187937","B1802",14.24,9.5,9.525,0.972993979470983
"192","R187942","B1802",13.71,9.3,9.525,0.972993979470983
"193","R187942","B1902",14.77,10,10,1.02151598894591
"194","R187942","B1902",14.08,9.5,10,1.02151598894591
"195","R187942","B1902",14.69,10,10,1.02151598894591
"196","R187937","B1902",14.84,10.2,10,1.02151598894591
"197","R187937","B1902",14.99,10.3,10,1.02151598894591
"198","R187547","B202",14.61,9.7,9.84545454545455,1.0057289236622
"199","R187547","B202",14.46,9.9,9.84545454545455,1.0057289236622
"200","R187547","B202",14.46,10,9.84545454545455,1.0057289236622
"201","R187547","B202",15.37,10.2,9.84545454545455,1.0057289236622
"202","R187239","B202",14.46,9.7,9.84545454545455,1.0057289236622
"203","R187239","B202",14.61,10,9.84545454545455,1.0057289236622
"204","R187239","B202",15.22,10.1,9.84545454545455,1.0057289236622
"205","R187239","B202",15.07,9.8,9.84545454545455,1.0057289236622
"206","R187239","B202",14.54,9.8,9.84545454545455,1.0057289236622
"207","R187239","B202",14.46,9.3,9.84545454545455,1.0057289236622
"208","R187239","B202",14.77,9.8,9.84545454545455,1.0057289236622
"209","R187927","B2102",14.84,10.2,9.78,0.999042637189104
"210","R187927","B2102",14.77,9.6,9.78,0.999042637189104
"211","R187940","B2102",14.08,9.7,9.78,0.999042637189104
"212","R187940","B2102",14.54,9.7,9.78,0.999042637189104
"213","R187940","B2102",14.31,9.7,9.78,0.999042637189104
"214","R187523","B2202",14.46,9.6,9.9,1.01130082905645
"215","R187523","B2202",14.54,9.8,9.9,1.01130082905645
"216","R187523","B2202",13.18,9.2,9.9,1.01130082905645
"217","R187523","B2202",14.69,10,9.9,1.01130082905645
"218","R187523","B2202",14.16,9.5,9.9,1.01130082905645
"219","R187521","B2202",14.92,10.3,9.9,1.01130082905645
"220","R187521","B2202",14.99,10.1,9.9,1.01130082905645
"221","R187521","B2202",15.3,10.3,9.9,1.01130082905645
"222","R187521","B2202",14.92,10.3,9.9,1.01130082905645
"223","R187541","B2502",14.77,10.1,10.02,1.02355902092381
"224","R187541","B2502",15.07,10.4,10.02,1.02355902092381
"225","R187541","B2502",15.18,10.1,10.02,1.02355902092381
"226","R187399","B2502",13.93,9.6,10.02,1.02355902092381
"227","R187399","B2502",15.03,10.1,10.02,1.02355902092381
"228","R187399","B2502",14.69,10,10.02,1.02355902092381
"229","R187399","B2502",14.77,9.9,10.02,1.02355902092381
"230","R187399","B2502",14.77,10.2,10.02,1.02355902092381
"231","R187399","B2502",13.86,9.6,10.02,1.02355902092381
"232","R187399","B2502",15.37,10.2,10.02,1.02355902092381
"233","R187932","B502",14.77,9.9,9.81111111111111,1.00222068693249
"234","R187932","B502",13.93,9.4,9.81111111111111,1.00222068693249
"235","R187932","B502",14.46,9.5,9.81111111111111,1.00222068693249
"236","R187932","B502",14.16,9.5,9.81111111111111,1.00222068693249
"237","R187932","B502",14.08,10,9.81111111111111,1.00222068693249
"238","R187590","B502",14.46,9.9,9.81111111111111,1.00222068693249
"239","R187590","B502",14.84,10,9.81111111111111,1.00222068693249
"240","R187590","B502",15.22,10.3,9.81111111111111,1.00222068693249
"241","R187590","B502",14.69,9.8,9.81111111111111,1.00222068693249
"242","R186918","B702",14.77,10.1,10.1,1.03173114883537
"243","R187953","B902",14.69,10.2,9.9625,1.01768530398737
"244","R187953","B902",14.77,9.7,9.9625,1.01768530398737
"245","R187953","B902",14.69,9.9,9.9625,1.01768530398737
"246","R187953","B902",15.37,10.5,9.9625,1.01768530398737
"247","R187958","B902",14.16,9.7,9.9625,1.01768530398737
"248","R187958","B902",14.61,9.7,9.9625,1.01768530398737
"249","R187958","B902",14.61,10.1,9.9625,1.01768530398737
"250","R187958","B902",14.92,9.9,9.9625,1.01768530398737
"251","R186907","C102",13.71,9.5,9.65,0.985762929332807
"252","R186907","C102",14.16,9.8,9.65,0.985762929332807
"253","R187030","C1302",15.45,10.2,10.07,1.02866660086854
"254","R187030","C1302",14.99,10,10.07,1.02866660086854
"255","R187030","C1302",15.07,10.3,10.07,1.02866660086854
"256","R187030","C1302",15.52,10.5,10.07,1.02866660086854
"257","R187030","C1302",15.45,10.6,10.07,1.02866660086854
"258","R187531","C1302",14.54,10.2,10.07,1.02866660086854
"259","R187531","C1302",14.39,9.9,10.07,1.02866660086854
"260","R187531","C1302",13.93,9.8,10.07,1.02866660086854
"261","R187531","C1302",14.61,9.7,10.07,1.02866660086854
"262","R187531","C1302",13.78,9.5,10.07,1.02866660086854
"263","Fem3","C1902",13.93,9.3,9.83333333333333,1.00449072246348
"264","Fem3","C1902",14.54,9.5,9.83333333333333,1.00449072246348
"265","Fem3","C1902",14.69,9.6,9.83333333333333,1.00449072246348
"266","Fem3","C1902",14.54,10.1,9.83333333333333,1.00449072246348
"267","Fem3","C1902",14.61,9.8,9.83333333333333,1.00449072246348
"268","R187400","C1902",14.24,9.4,9.83333333333333,1.00449072246348
"269","R187400","C1902",14.84,10.1,9.83333333333333,1.00449072246348
"270","R187400","C1902",15.22,10.5,9.83333333333333,1.00449072246348
"271","R187400","C1902",14.61,10.2,9.83333333333333,1.00449072246348
"272","R187920","C202",14.61,9.9,9.775,0.998531879194631
"273","R187920","C202",14.77,9.8,9.775,0.998531879194631
"274","R187920","C202",14.54,9.8,9.775,0.998531879194631
"275","R187936","C202",15.3,10.2,9.775,0.998531879194631
"276","R187936","C202",14.54,9.7,9.775,0.998531879194631
"277","R187936","C202",14.54,9.8,9.775,0.998531879194631
"278","R187936","C202",13.93,9.4,9.775,0.998531879194631
"279","R187936","C202",14.46,9.6,9.775,0.998531879194631
"280","R187398","C2202",13.71,9.1,9.95555555555556,1.01697591788393
"281","R187517","C2202",14.61,9.8,9.95555555555556,1.01697591788393
"282","R187517","C2202",14.54,9.8,9.95555555555556,1.01697591788393
"283","R187517","C2202",15.22,10.6,9.95555555555556,1.01697591788393
"284","R187517","C2202",14.99,10.3,9.95555555555556,1.01697591788393
"285","R187517","C2202",14.54,9.3,9.95555555555556,1.01697591788393
"286","R187517","C2202",15.37,10.5,9.95555555555556,1.01697591788393
"287","R187517","C2202",14.92,9.8,9.95555555555556,1.01697591788393
"288","R187517","C2202",14.99,10.4,9.95555555555556,1.01697591788393
"289","R187945","C2302",13.93,9.3,9.84,1.00517173312278
"290","R187945","C2302",14.77,10.1,9.84,1.00517173312278
"291","R187945","C2302",14.84,9.8,9.84,1.00517173312278
"292","R187945","C2302",14.77,9.8,9.84,1.00517173312278
"293","R187945","C2302",14.46,10,9.84,1.00517173312278
"294","R187594","C2302",14.92,10.3,9.84,1.00517173312278
"295","R187594","C2302",13.93,9.2,9.84,1.00517173312278
"296","R187594","C2302",14.61,10,9.84,1.00517173312278
"297","R187594","C2302",14.54,9.6,9.84,1.00517173312278
"298","R187594","C2302",14.84,10.3,9.84,1.00517173312278
"299","R187553","C2402",13.93,9.2,9.55714285714286,0.976277423721166
"300","R187553","C2402",14.54,9.9,9.55714285714286,0.976277423721166
"301","R187553","C2402",14.46,9.8,9.55714285714286,0.976277423721166
"302","R187595","C2402",13.78,9.4,9.55714285714286,0.976277423721166
"303","R187595","C2402",14.54,10,9.55714285714286,0.976277423721166
"304","R187595","C2402",13.86,9,9.55714285714286,0.976277423721166
"305","R187595","C2402",13.86,9.6,9.55714285714286,0.976277423721166
"306","R187571","C2602",14.77,10.2,9.82,1.00312870114489
"307","R187571","C2602",15.07,9.9,9.82,1.00312870114489
"308","R187571","C2602",14.08,9.4,9.82,1.00312870114489
"309","R187571","C2602",15.14,10.2,9.82,1.00312870114489
"310","R187552","C2602",14.39,9.7,9.82,1.00312870114489
"311","R187552","C2602",14.99,10,9.82,1.00312870114489
"312","R187552","C2602",14.16,9.2,9.82,1.00312870114489
"313","R187552","C2602",14.39,9.7,9.82,1.00312870114489
"314","R187552","C2602",14.84,9.8,9.82,1.00312870114489
"315","R187552","C2602",14.46,10.1,9.82,1.00312870114489
"316","R046109","C402",13.1,8.9,9.55,0.975547769443348
"317","R046109","C402",13.33,9.2,9.55,0.975547769443348
"318","R046109","C402",14.35,10,9.55,0.975547769443348
"319","R046108","C402",14.27,9.6,9.55,0.975547769443348
"320","R046108","C402",14.16,9.7,9.55,0.975547769443348
"321","R046108","C402",14.92,9.9,9.55,0.975547769443348
"322","R187517","C602",14.31,9.5,9.7,0.990870509277536
"323","R187517","C602",14.61,9.7,9.7,0.990870509277536
"324","R187517","C602",15.22,10.1,9.7,0.990870509277536
"325","R187517","C602",14.61,9.5,9.7,0.990870509277536
"326","R187517","C602",14.54,9.8,9.7,0.990870509277536
"327","R187398","C602",14.16,9.6,9.7,0.990870509277536
"328","R187398","C602",13.86,9.2,9.7,0.990870509277536
"329","R187398","C602",14.69,10.1,9.7,0.990870509277536
"330","R187398","C602",14.69,9.8,9.7,0.990870509277536
"331","R187545","D1002",16.81,11.4,10.0444444444444,1.0260560600079
"332","R187545","D1002",15.37,10.4,10.0444444444444,1.0260560600079
"333","R187545","D1002",14.69,10.1,10.0444444444444,1.0260560600079
"334","R187545","D1002",14.54,9.5,10.0444444444444,1.0260560600079
"335","R187545","D1002",14.54,9.4,10.0444444444444,1.0260560600079
"336","R187546","D1002",13.93,9.3,10.0444444444444,1.0260560600079
"337","R187546","D1002",14.99,10.2,10.0444444444444,1.0260560600079
"338","R187546","D1002",14.54,9.8,10.0444444444444,1.0260560600079
"339","R187546","D1002",14.92,10.3,10.0444444444444,1.0260560600079
"340","R187524","D102",14.31,9.4,9.77777777777778,0.998815633636005
"341","R187524","D102",14.77,10.1,9.77777777777778,0.998815633636005
"342","R187524","D102",14.84,9.8,9.77777777777778,0.998815633636005
"343","R187516","D102",14.54,9.7,9.77777777777778,0.998815633636005
"344","R187516","D102",14.61,10,9.77777777777778,0.998815633636005
"345","R187516","D102",14.01,9.4,9.77777777777778,0.998815633636005
"346","R187516","D102",14.77,9.8,9.77777777777778,0.998815633636005
"347","R187516","D102",15.3,10.4,9.77777777777778,0.998815633636005
"348","R187516","D102",14.01,9.4,9.77777777777778,0.998815633636005
"349","R187964","D1102",14.16,9.7,9.54,0.974526253454402
"350","R187964","D1102",14.61,9.8,9.54,0.974526253454402
"351","R187964","D1102",14.31,9.3,9.54,0.974526253454402
"352","R187963","D1102",14.24,9.2,9.54,0.974526253454402
"353","R187963","D1102",14.31,9.7,9.54,0.974526253454402
"354","R187582","D1202",13.63,9.2,9.44444444444444,0.964765100671141
"355","R187582","D1202",14.08,9.2,9.44444444444444,0.964765100671141
"356","R187582","D1202",14.46,9.8,9.44444444444444,0.964765100671141
"357","R187582","D1202",14.24,9.4,9.44444444444444,0.964765100671141
"358","R187582","D1202",14.92,9.7,9.44444444444444,0.964765100671141
"359","R187548","D1202",13.4,9.1,9.44444444444444,0.964765100671141
"360","R187548","D1202",13.63,9.3,9.44444444444444,0.964765100671141
"361","R187548","D1202",14.61,9.8,9.44444444444444,0.964765100671141
"362","R187548","D1202",14.08,9.5,9.44444444444444,0.964765100671141
"363","R187947","D1302",14.46,10.1,9.52857142857143,0.973358806609892
"364","R187947","D1302",14.08,9.5,9.52857142857143,0.973358806609892
"365","R187947","D1302",13.71,9.2,9.52857142857143,0.973358806609892
"366","R187947","D1302",14.08,9.5,9.52857142857143,0.973358806609892
"367","R187944","D1302",13.71,9.3,9.52857142857143,0.973358806609892
"368","R187944","D1302",13.86,9.6,9.52857142857143,0.973358806609892
"369","R187944","D1302",14.01,9.5,9.52857142857143,0.973358806609892
"370","R187590","D202",14.92,10.1,9.66363636363636,0.98715590568137
"371","R187590","D202",15.22,9.7,9.66363636363636,0.98715590568137
"372","R187590","D202",15.52,10.5,9.66363636363636,0.98715590568137
"373","R187590","D202",14.84,9.8,9.66363636363636,0.98715590568137
"374","R187590","D202",15.22,10.2,9.66363636363636,0.98715590568137
"375","R187932","D202",13.93,9.5,9.66363636363636,0.98715590568137
"376","R187932","D202",13.86,9.2,9.66363636363636,0.98715590568137
"377","R187932","D202",14.46,9.6,9.66363636363636,0.98715590568137
"378","R187932","D202",13.86,9.2,9.66363636363636,0.98715590568137
"379","R187932","D202",14.01,9.2,9.66363636363636,0.98715590568137
"380","R187932","D202",14.46,9.3,9.66363636363636,0.98715590568137
"381","R187940","D402",14.54,10,9.97,1.01845144097908
"382","R187940","D402",15.14,10.3,9.97,1.01845144097908
"383","R187940","D402",14.69,10.1,9.97,1.01845144097908
"384","R187927","D402",14.61,9.6,9.97,1.01845144097908
"385","R187927","D402",14.77,10.3,9.97,1.01845144097908
"386","R187927","D402",14.39,9.4,9.97,1.01845144097908
"387","R187927","D402",14.92,9.9,9.97,1.01845144097908
"388","R187927","D402",14.39,10.1,9.97,1.01845144097908
"389","R187927","D402",15.45,9.8,9.97,1.01845144097908
"390","R187927","D402",14.84,10.2,9.97,1.01845144097908
"391","R187540","D602",14.99,10.5,10.02,1.02355902092381
"392","R187540","D602",14.95,10,10.02,1.02355902092381
"393","R187540","D602",14.77,9.8,10.02,1.02355902092381
"394","R187540","D602",13.93,9.6,10.02,1.02355902092381
"395","R187540","D602",15.07,10.2,10.02,1.02355902092381
"396","R187239","D802",14.54,9.9,9.82857142857143,1.00400428627827
"397","R187239","D802",14.61,10,9.82857142857143,1.00400428627827
"398","R187239","D802",14.46,9.8,9.82857142857143,1.00400428627827
"399","R187239","D802",14.46,9.9,9.82857142857143,1.00400428627827
"400","R187547","D802",14.61,10.1,9.82857142857143,1.00400428627827
"401","R187547","D802",14.54,9.7,9.82857142857143,1.00400428627827
"402","R187547","D802",14.24,9.4,9.82857142857143,1.00400428627827
"403","R187546","D902",14.24,9.8,9.66,0.986784445321753
"404","R187546","D902",14.69,9.9,9.66,0.986784445321753
"405","R187546","D902",14.77,10.2,9.66,0.986784445321753
"406","R187546","D902",14.46,9.6,9.66,0.986784445321753
"407","R187546","D902",14.54,9.5,9.66,0.986784445321753
"408","R187545","D902",13.93,9.3,9.66,0.986784445321753
"409","R187545","D902",13.93,9.4,9.66,0.986784445321753
"410","R187545","D902",14.39,9.5,9.66,0.986784445321753
"411","R187545","D902",14.69,9.9,9.66,0.986784445321753
"412","R187545","D902",14.08,9.5,9.66,0.986784445321753
"413","R186907","E1002",13.33,9,9.63333333333333,0.984060402684564
"414","R186907","E1002",15.07,10,9.63333333333333,0.984060402684564
"415","R186907","E1002",14.61,9.9,9.63333333333333,0.984060402684564
"416","R187579","E1102",14.08,9.6,9.65555555555556,0.986330438215555
"417","R187579","E1102",14.54,9.4,9.65555555555556,0.986330438215555
"418","R187579","E1102",14.54,9.8,9.65555555555556,0.986330438215555
"419","R187166","E1102",13.93,9.4,9.65555555555556,0.986330438215555
"420","R187166","E1102",14.69,10,9.65555555555556,0.986330438215555
"421","R187166","E1102",14.08,9.8,9.65555555555556,0.986330438215555
"422","R187166","E1102",13.86,9.4,9.65555555555556,0.986330438215555
"423","R187166","E1102",14.92,10.1,9.65555555555556,0.986330438215555
"424","R187166","E1102",13.86,9.4,9.65555555555556,0.986330438215555
